Carimbo de data/hora,conjunto,fazer_pedido,pedir_cardapio,pedir_conta,escolher_entrega,definir_pagamento,feedback
04/04/2022 02:14:13,Conjunto de Treino,"Quero uma Calabresa, uma muçarela e uma coca-cola",Me vê o cardápio,Qual o valor final?,"Para entregar na Avenida Afonso Pena, no Centro.",Vou mandar um pix.,"Estava tudo muito bom, parabéns!"
04/04/2022 02:21:15,Conjunto de Treino,Quero duas de bacon,Manda o Cardápio,Manda a conta,Venho buscar aqui.,Cartão de Crédito,"Nota 10, estava muito bom."
04/04/2022 02:23:15,Conjunto de Treino,"Quero uma quatro queijos, uma presunto, uma baiana e duas cocas.",Quais opções de pizza?,Total foi quanto?,Vou comer aqui.,Pagar com notas e moedas.,Demorou demais para a pizza ficar pronta.
04/04/2022 02:24:07,Conjunto de Teste,Uma muçarela e uma coca.,Quero o cardápio.,Quanto deu?,Quero comer aqui.,Cartão de Crédito.,Muito obrigado!
04/04/2022 02:33:10,Conjunto de Teste,Quero uma pizza de Brigadeiro e dois refrigerantes,O que vocês têm aí?,Quanto vai ficar?,"Entregar na rua itupiranga, portal do panamá.
",Pagar no débito.,Valeu!
06/04/2022 05:48:45,Conjunto de Treino,"Vou querer 1 pizza quatro queijos e 1 pizza de calabresa, acompanhado com 1 coca cola. ","Olá, Me vê o que tem no cardápio. Quais seriam os sabores da pizzas. Está disponível esse sabor hoje.",Quanto foi o total do pedido?,Entregar para o Bairro Portal do Panamá na Rua Itupiranga. ,"Vou pagar no cartão, vocês trazem a máquininha? ","Obrigado estou muito satisfeito, a pizza está muito boa e a entrega foi rápida. "
06/04/2022 05:57:14,Conjunto de Teste,Quero uma frango com catupiry. Para beber me trás um refrigerante,O que tem disponível?,Qual foi o total ?,Para entregar no bairro Zé Pereira ,Vou pagar no cartão de débito ,A pizza estava ótima 
06/04/2022 06:11:42,Conjunto de Treino,Quero uma de calabresa e uma coca ,"Olá boa noite,qual o cardápio ",Quanto deu por favor?,Vocês estrega na rua x no bairro y?,Vou pagar no cartão ,"Muito obrigado,a pizza estava uma delícia "
06/04/2022 06:13:53,Conjunto de Treino,Quero uma de calabresa e uma coca,"Olá boa noite,qual o cardápio?",Quanto deu por favor?,Vocês entregam no bairro y rua x?, Vou pagar no cartão de crédito ,"Muito obrigado,a pizza estava uma delícia "
06/04/2022 06:15:04,Conjunto de Treino,"Quero 2 portuguesa, 1 4queijos e duas cocas",Me vê o cardápio por favor ,Quanto ficou?,Quando estiver pronta venho buscar,Cartão de crédito ,A pizza estava excelente 
06/04/2022 06:36:43,Conjunto de Treino,Quero duas pizzas por favor sabor quatro queijos e uma metade baiana metade calabresa .,O Cardápio por favor 😊,A conta por favor ,Para entregar aqui na minha casa rua Itupiranga 333,Vou pagar no pix,Muito obrigado estava uma delícia as pizzas de vcs .
06/04/2022 06:52:28,Conjunto de Teste,Eu vou querer uma gigante meia quatro queijos meia calabresa e uma coca,Olá Boa Noite gostaria de ver o cardápio ,Qual o valor?,Vai ser entrega rua Oscar Leopoldo Durski Silva nmr 357 bairro paz e bem ,Cartão de débito ,A minha pizza veio trocada pedi de quatro queijos e calabresa e veio portuguesa e frango
06/04/2022 06:56:41,Conjunto de Teste,"Eu quero 1 frango com Bacon com borda, 1 refrigerante 2litros",Qual sabores é qual o valor ?,Qual o total ?,"Entregar na Rua Bento de Souza 522, nova capital","Máquina de cartão, crédito","Obrigado pelo atendimento, estava tudo muito bom"
06/04/2022 07:04:14,Conjunto de Teste,Gostaria uma metade calabresa e bacon e outra de quatro queijos e presunto ,Olá boa noite gostaria de pedir uma pizza! Oq vcs tem hoje ?,Quantos deu tudo?,Será entrega ok? Será no endereço rua Rui Barbosa número 1020,Vou pagar no cartão débito ,"Obrigada,a pizza estava uma delícia e o atendimento é ótimo "
06/04/2022 07:12:29,Conjunto de Teste,"Vai ser uma pizza de calabresa e uma bacon, para beber um guaraná de 2 litros ","Boa noite, me vê o cardápio ",Quanto ficou? ,Vou ir buscar ,Vai ser no cartão de débito ,"Muito obrigado, ótima pizza! "
06/04/2022 07:29:10,Conjunto de Treino,Vou querer uma marguerita e frango com catupiry,Boa noite! Pode me mandar o cardápio?,Quanto ficou meu pedido?,Entrega na minha casa rua Maceió 78 bairro Jardim imã ,Vou pagar no pix,Muito obrigado! Venho rápido!
06/04/2022 07:49:11,Conjunto de Teste,Quero 1 pizza metade calabresa e metade M&M e uma coca 2 litros,Pode me enviar seu cardápio?,Pode me enviar o total ?,"Entrega na rua José Carlos Silva de Almeida- 480, 
Apto E 11.","Quais as formas de pagamento ? Vou pagar no pix, caso tenha está opção.","Obrigada, entrega rápida e pizza deliciosa."
06/04/2022 07:56:12,Conjunto de Teste,3 pizzas de marguerita e um suco,Quais os sabores?,Qual o valor total?,Vou retirar no local,Cartão de crédito,Pizza Excelente 
06/04/2022 08:24:36,Conjunto de Teste,"2 pizzas meia a meia, Bacon, calabresa, frango com catupiry e quatro queijos ",Qual o valor da pizza X ,Qual o total?,"Entregar na rua Marechal Hermes, 693 - Vila Palmira ",Cartão de Crédito ,
06/04/2022 08:30:14,Conjunto de Treino,Vou querer uma pizza de marguerita e uma coca,Pode me enviar o cardapio?,Quanto fica?,Pra entregar na rua 14 de julho 4465,Vai ser no débito,"Muito boa a pizza, obrigada!"
06/04/2022 08:33:43,Conjunto de Treino,"Vou querer 2 pizzas, uma marguerita e uma quatro queijos. Pra beber uma água, por favor","Queria o cardápio, por favor",Quanto ficou?,Me avisa qd tiver pronta que eu venho buscar,"Vai ser no pix, pode ser?",A pizza veio fria
06/04/2022 08:38:32,Conjunto de Treino,Me ve uma portuguesa e uma romeu e julieta,Quais os sabores de pizza disponiveis?,Quanto deu o total?,Pra entregar na avenida calógeras 1356,Vai ser no crédito,"Obrigada, tava tudo ótimo"
06/04/2022 08:49:24,Conjunto de Treino,"Mande uma portuguesa, uma de calabresa e uma de bacon",Cardápio,Quanto ficou a conta?,Para entrega no endereço av Costa e Silva 1500,Pagamento via pix,A pizza portuguesa estava muito seca
06/04/2022 08:52:17,Conjunto de Teste,"Quero 2 pizzas,1 de calabresa, e 1 quatro queijos  e também um suco de laranja natural",Poderia me ver o cardápio?,Me vê a conta por favor ,Vou retirar no local,Vou pagar no dinheiro,"A pizza estava uma delícia, meu pedido veio tudo certinho, e a qualidade é excelente!"
06/04/2022 08:53:28,Conjunto de Treino,Uma de brigadeiro e uma quatro queijos,Quais as opções de pizzas?,A conta ,Comer aqui,Pagar com cartão de débito,A pizza de brigadeiro estava com a massa queimada 
06/04/2022 09:24:12,Conjunto de Teste,"Quero 10 pizzas de calabresa, 4 baianas e 20 de brigadeiro. E me vê uma Coca litro.",Tem pizza de calabresa?,"Me pega a conta, por favor. ",Vou comer aqui mesmo,Vou pagar no débito.,"Pizzas estavam ótimas, com exceção de uma das baianas."
06/04/2022 09:26:50,Conjunto de Treino,"Quero uma meia pizza portuguesa e meia Califórnia. Me trás um guaraná quando tiver pronto, por favor. ",Vocês podem fazer uma pizza salgada nas com borda doce?,Quanto saiu? Tem desconto?,Vou comer aqui.,Vou pagar 3x no crédito. ,"A pizza em si estava boa, só senti falta da borda de chocolate. Até mais."
06/04/2022 09:33:59,Conjunto de Teste,Eu gostaria de uma pizza de quatro queijos e uma coca cola de 2 litros ,"Olá boa noite, vocês poderiam me enviar o cardápio ? ",Que valor total ? ,Vocês entregam ? Rua Benedito gomes 33 ,Vai ser cartão de crédito ,"Muito obrigado, tenham uma boa noite "
06/04/2022 11:13:38,Conjunto de Teste,Vou querer duas pizzas de calabresa e 3 cocas,"Olá, poderia me enviar o cardápio?",Ficou quanto?,Vou comer aqui,Vou pagar no pix,Obrigada!
06/04/2022 11:15:44,Conjunto de Teste,Vou querer uma pizza de bacon e um refrigerante,Eu gostaria de ver o cardápio,Qual o valor?,"Entregar na rua dois, número 123, Centro",Vou pagar no crédito,Estava uma delícia
06/04/2022 11:50:38,Conjunto de Teste,Quero uma pizza suspiro de fada e uma funada 2L ,Qual o seu cardápio ,Qual o valor de tudo ,Endereço rua Edmundo de Almeida 643 bairro se Pereira ,Pagamento no débito ,Tava uma delícia 😋
06/04/2022 12:28:34,Conjunto de Teste,Quero uma água com gás e uma pizza de Frango com Catupiry ,Quais as opções de pizza vocês têm?,Quanto deu?,Irei busca-lá no balcão ,Vou pagar no Cartão de Débito ,"Muito obrigado, boa noite."
06/04/2022 22:16:48,Conjunto de Treino,2 baianas,Qual o sabor tem?,Qual o total?,Busco quando estiver pronta ,Pix?,Poha mó boa
06/04/2022 22:19:13,Conjunto de Treino,Quero duas de calabresa e uma coca,Tem um cardápio?,Me vê a conta ,"Avenida Fernando pessoa número 235, venho buscar ",Débito ,Valeu!
06/04/2022 22:20:31,Conjunto de Treino,Quero uma quatro queijo ,O que tem no cardápio?,Qual o valor da conta? ,"Rua Edmundo de Almeida n 389, quando estiver fria",Dinheiro ,Veio sem azeitona 
08/04/2022 04:45:21,Conjunto de Treino,Quero 2 guaranás e uma Pizza de Calabresa,Quais sabores vocês tem?,Pode fechar a conta.,"Rua Aeroporto 1200, Bairro Nova Campo Grande",Pagamento a vista.,Voltarei sempre aqui.
08/04/2022 04:48:19,Conjunto de Treino,Quero uma Califórnia e duas cervejas.,O que você tem aí?,Quanto vai ficar?,Quando estiver pronta eu vou buscar.,Pagamento na retirada.,"Péssimo, gastei dinheiro à toa."
08/04/2022 16:29:33,Conjunto de Treino,"De pizza salgada eu quero uma de bacon e duas de calabresa e doce uma de Romeu e Julieta, para beber eu quero um suco e duas cocas",Tem cardápio?,Conta,"Av. Das bandeiras, 297",Vou fazer pix,Pizza 10/10
08/04/2022 16:31:35,Conjunto de Treino,Quero uma água e duas California ,"Cardapio, fazendo favor",Fecha a conta para mim,Vou buscar ,Vou pagar no crédito ,"Pizza boa, vou pedir mais vezes"
08/04/2022 16:38:27,Conjunto de Treino,Duas margaritas e duas frango com catupiry,Quero o cardápio ,Valor?,Vou comer ai,Vou pagar com dinheiro ,Amei muito 
08/04/2022 16:40:40,Conjunto de Treino,tem pizza de de frango com catupiry? também quero um refri,queria ver o cardápio,queria saber quanto que deu?,me avisa quando estiver pronta que vou aí buscar,aceita cartão de crédito?,eu adorei a pizza
08/04/2022 16:44:18,Conjunto de Treino,Uma muçarela e uma napolitana 4 cervejas,Quero ver o cardápio ,Fecha a conta para mim,Quando ficar pronto me avisa que eu busco ,Débito ,"Não curti muito hoje, espero que esteja melhor na próxima "
08/04/2022 16:52:38,Conjunto de Treino,queria uma pizza de Romeu e Julieta,oque tem pra hoje?,quanto deu?,vou retirar no local,queria pagar no pix aceita?,gostei muito 
08/04/2022 16:53:04,Conjunto de Treino,1 brigadeiro 1 Romeu e Julieta 1 Califórnia 3 quatro queijos 2 baiana ,Quero o cardápio ,Total,"R. Das margaridas, 510",Cartão de crédito ,Todos gostaram da pizza
08/04/2022 16:59:13,Conjunto de Treino,Uma pizza de brigadeiro acompanhado de uma coca,QUAIS SÃO AS OPÇÕES DISPONÍVEIS?,Me vê a conta,Entregar na avenida Eduardo de Castilho 1082 centro,Vou pagar no dinheiro,Atendimento ótimo 
08/04/2022 17:39:28,Conjunto de Treino,Me ve uma marguerita e uma bacon,"Opa, tem um menu para pizzas?
",Quanto da?,Para retirar,Pix,
08/04/2022 17:40:17,Conjunto de Treino,Duas bacon e uma coca,Cardapio?,Quanto deu?,Rua das amélias 677,"Dinheiro
",
08/04/2022 17:41:21,Conjunto de Treino,Uma pizza doce de brigadeiro,Tem cardápio?,Me avisa quanto deu para fechar,Afonso pena 666,Cartão de débito,
08/04/2022 17:44:39,Conjunto de Treino,"1 napolitana, 2 bacon e 1 romeu e julieta",Lista de pizza por favor,Quanto que da tudo?,Comer ai,Vai ser cartão,
08/04/2022 17:49:45,Conjunto de Treino,Me ve 1 inteira frango com catupiry,Quais pizza tem hoje?,Total de?,Rua rodolfo jose pinho 304,Pix,
08/04/2022 17:51:09,Conjunto de Treino,Quero uma portuguesa e uma presunto,Me ve o cardapio,Quanto vai fica essa brincadeira?,Rua Paraíba 27,Cartão de crédito,
08/04/2022 17:52:26,Conjunto de Treino,Uma baiana e uma portuguesa,Me ve o menu,Quando te devo?,Retirada,Dinheiro,
08/04/2022 17:54:01,Conjunto de Treino,"1 calabresa, 1 portuguesa, 1 marguerita,1 frango com catupiry",Quais pizza vc tem?,Fecha a conta,Retirada,Vai ser no débito,
08/04/2022 18:12:08,Conjunto de Treino,6 quatro queijos e 3 de brigadeiros,Tem menu?,Nao esquece de me fala quanto deu,Quintino bocaiuva 1031 ,Vai ser crédito,
08/04/2022 18:13:24,Conjunto de Treino,Um coca 2L,Tem menu?,Valor total de?,Rua da redenção 75,Aceita pix?,
08/04/2022 18:14:27,Conjunto de Treino,1 baiana e uma presunto,Cardapio,Quanto?,Retirada,Vai ser débito,
08/04/2022 18:27:25,Conjunto de Treino,Margarida frango catupiry,Me vê o cardapio,Me vê a conta,Quando tiver pronta venho buscar,Aceita pix,Muito obrigado 
08/04/2022 18:28:04,Conjunto de Treino,1 de presunto ,Cardápio ,Quanto fica?,"Entregar no endereço Av. Sol nascente, 319","Beleza, então quero pagar no crédito ",Melhor pizza do mundo 
08/04/2022 18:28:40,Conjunto de Treino,Calabresa,O que tem disponível,A conta por favor,Quer8 comer aqui,Aceita pix,A pizza estava otima
08/04/2022 18:30:28,Conjunto de Treino,Duas pizzas de presunto e uma baiana,Manda o Menu,Preço?,"Entrega para mim na avenida Fábio Zaran, número 539",Cartão de débito ,Nota 9
08/04/2022 18:31:37,Conjunto de Treino,Então eu quero três de presunto e quatro Califórnia ,O que tem para hj?,Valor da conta,Vou aí para buscar ,Pagamento via pix,Nota 10
08/04/2022 18:39:18,Conjunto de Treino,Quero uma pizza de Quatro queijos,Qual é  o cardápio por favor,Qual valor que ficou ?,"Rua bom sucesso 123, joquei club ",Pode ser no pix ,Linda pizza 
08/04/2022 18:40:56,Conjunto de Treino,Me ve duas pizza de calabresa,Quais são as pizza que vocês trabalham,Me ve o valor que ficou,"Av das bandeiras, 157",Vou pagar no débito,"Ótima pizza, muito saborosa"
08/04/2022 18:44:21,Conjunto de Treino,Quero um de bacon,"Qual sabores de pizza vocês tem, pode me enviar o cardápio",Quanto deu,"Av Barão do Rio Branco, 28 ",Vou pegar no dinheiro,Pizza maravilhosa
08/04/2022 18:44:21,Conjunto de Treino,Uma de presunto e 2 sucos,Manda o menu,Quero ver quanto deu,Vou come ai,Dinheiro mesmo,Suas pizzas são maravilhosas
08/04/2022 18:46:31,Conjunto de Treino,Me ve duas napolitana,Manda a boa do dia,Quanto deu tudo,"Av São José 1234, centro",Vou pagar com pix,"Muito boa, parabéns"
08/04/2022 18:46:52,Conjunto de Treino,Uma cerveja e duas pizzas de bacon,Quero ver o menu,Quanto fica,"Minha casa fica na rua das primaveras, 726",Vou pagar no cartão de débito,Chegou meio fria em casa
08/04/2022 18:47:27,Conjunto de Treino,Me ve uma de presunto,Me ve o cardápio por favor,Conta por favor,"Av ufms, 123",Pix,Uma delícia
08/04/2022 18:49:16,Conjunto de Treino,"Duas de quatro queijos, um refri e um suco",Mostrar cardápio ,Mostrar conta ,"Entrega no condomínio vitalita, apt 06, bloco c",Credito,Pizza mediana
08/04/2022 18:57:00,Conjunto de Treino,"Meu pedido é 5 pizzas de frango com catupiry e 3 de portuguesa, para beber 2 cocas, 3 refri e 4 sucos",Mostra o cardápio ,Quero a conta,"Não quero que entrega, vou pegar ai",Quero pagar no cartão de débito ,Pizza muito boa
08/04/2022 18:58:32,Conjunto de Treino,Uma coca e uma de brigadeiro ,O cardápio ,Soma quanto deu para mim,"Entrega na rua das margaridas, 524",Pagar no dinheiro ,Pizza sensacional 
08/04/2022 19:06:01,Conjunto de Treino,2 Muçarela e 1 água ,Menu,Soma tudo,Vou comer no estabelecimento ,Pix,Gostei
08/04/2022 19:09:29,Conjunto de Treino,Quero uma coca e uma pizza napolitana ,Quero ver o cardápio ,Mostrar conta ,Entrega na praça do jóquei clube ,Pagamento no pix,Amei
08/04/2022 19:10:43,Conjunto de Treino,Gostaria de três pizzas marguerita ,Gostaria de ver o cardápio ,A conta,Vou buscar ,Credito ,Estou satisfeita com a pizza 
08/04/2022 19:43:36,Conjunto de Treino,Uma marguerita ,"O cardápio, pfv",Total da conta,"Entrega na travessa Lydia bais, 38",Posso passar cartão?,A pizza estava muito saborosa
08/04/2022 19:46:18,Conjunto de Treino,"uma de frango com catupiry, uma coquinha",O que tem para hj?,Quanto ficou?,Entregar no parque das nações,Pagamento no dinheiro ,Belíssima pizza
08/04/2022 20:19:33,Conjunto de Treino,Duas de Romeu e Julieta ,Quero ver o menu ,Quero saber o valor,"Entrega para mim na Av. Bom sucesso, 789",Pagar no cartão ,Uma pizza externamente fabulosa
08/04/2022 20:22:13,Conjunto de Treino,Duas portuguesas e um suco ,Menu pf,Soma a conta para mim,Entrega na rua A casa 2,Débito ,Pizza horrível 
08/04/2022 20:29:33,Conjunto de Treino,Uma pizza Califórnia e dois sucos,Ver menu,Manda a conta,Quando tiver pronto eu busco,Vou de pix,Da para melhorar 
08/04/2022 20:31:22,Conjunto de Treino,Então eu quero uma pizza de brigadeiro e duas cervejas ,Que pizza tem aí?,O total deu quanto?,Quero comer ai,Credito,Poderia ser maior
08/04/2022 20:33:55,Conjunto de Treino,Uma de presunto e duas águas ,Qual é a boa,Valor,"Entrega na rua dos ypes, 367",Pagar no cartão ,Valeu